
                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
             R2021a Update 1 (9.10.0.1649659) 64-bit (glnxa64)
                               April 13, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Datastore creation...
Network creation...
Training...
[Warning: Support for GPU devices with Compute Capability 5.2 will be removed in
a future MATLAB release. For more information on GPU support, see <a
href="matlab:web('http://www.mathworks.com/help/parallel-computing/gpu-support-by-release.html','-browser')">GPU
Support by Release</a>.] 
[> In parallel.internal.gpu.selectDevice
In parallel.gpu/GPUDevice/current (line 44)
In gpuDevice (line 23)
In nnet.internal.cnn.util.isGPUCompatible (line 10)
In nnet.internal.cnn.util.GPUShouldBeUsed>iCheckLocalGPU (line 51)
In nnet.internal.cnn.util.GPUShouldBeUsed>iValidateGPU (line 85)
In nnet.internal.cnn.util.GPUShouldBeUsed (line 34)
In nnet.internal.cnn.assembler.setupExecutionEnvironment (line 32)
In nnet.internal.cnn.trainNetwork.doTrainNetwork (line 22)
In trainNetwork (line 182)
In fullUNet_image_reconstruction (line 181)
In run (line 91)] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |         315 |       00:54:13 |        11.08 |        10.78 |      61.3541 |      58.1473 |          0.1000 |
|       1 |         320 |       00:55:04 |        10.22 |        10.69 |      52.1776 |      57.0887 |          0.1000 |
|       1 |         325 |       00:55:57 |        10.74 |        10.63 |      57.6320 |      56.4801 |          0.1000 |
|       1 |         330 |       00:56:49 |        10.61 |        10.56 |      56.2934 |      55.7201 |          0.1000 |
|       1 |         335 |       00:57:40 |        10.88 |        10.50 |      59.1737 |      55.1731 |          0.1000 |
|       1 |         340 |       00:58:33 |        10.27 |        10.49 |      52.7595 |      55.0698 |          0.1000 |
|       1 |         345 |       00:59:24 |        10.81 |        10.46 |      58.4771 |      54.7065 |          0.1000 |
|       1 |         350 |       01:00:15 |        10.16 |        10.36 |      51.6062 |      53.7085 |          0.1000 |
|       1 |         355 |       01:01:07 |        10.49 |        10.29 |      55.0478 |      52.9794 |          0.1000 |
|       1 |         360 |       01:01:59 |        10.38 |        10.28 |      53.8815 |      52.8830 |          0.1000 |
|       1 |         365 |       01:02:51 |        10.36 |        10.22 |      53.7014 |      52.1797 |          0.1000 |
|       1 |         370 |       01:03:42 |        10.48 |        10.28 |      54.8995 |      52.8591 |          0.1000 |
|       1 |         375 |       01:04:34 |        10.44 |        10.18 |      54.4536 |      51.7917 |          0.1000 |
|       1 |         380 |       01:05:25 |         9.82 |        10.27 |      48.1874 |      52.6871 |          0.1000 |
|       1 |         385 |       01:06:17 |        10.05 |        10.20 |      50.5217 |      51.9798 |          0.1000 |
|       1 |         390 |       01:07:09 |        10.04 |        10.15 |      50.4335 |      51.5251 |          0.1000 |
|       1 |         395 |       01:08:00 |        10.45 |        10.14 |      54.5735 |      51.3863 |          0.1000 |
|       1 |         400 |       01:08:52 |        10.14 |        10.04 |      51.3664 |      50.4358 |          0.1000 |
|       1 |         405 |       01:09:44 |         9.69 |        10.06 |      46.9259 |      50.6013 |          0.1000 |
|       1 |         410 |       01:10:35 |         9.70 |         9.98 |      47.0923 |      49.8202 |          0.1000 |
|       1 |         415 |       01:11:28 |         9.71 |         9.96 |      47.1216 |      49.6311 |          0.1000 |
|       1 |         420 |       01:12:20 |         9.82 |         9.90 |      48.1750 |      49.0527 |          0.1000 |
|       1 |         425 |       01:13:12 |        10.06 |         9.87 |      50.6144 |      48.7464 |          0.1000 |
|       1 |         430 |       01:14:04 |         9.68 |         9.84 |      46.8804 |      48.4106 |          0.1000 |
|       1 |         435 |       01:14:55 |        10.09 |         9.78 |      50.9475 |      47.8059 |          0.1000 |
|       1 |         440 |       01:15:47 |         9.74 |         9.86 |      47.3963 |      48.6377 |          0.1000 |
|       1 |         445 |       01:16:39 |         9.83 |         9.78 |      48.3217 |      47.8435 |          0.1000 |
|       1 |         450 |       01:17:31 |         9.59 |         9.76 |      45.9510 |      47.6040 |          0.1000 |
|       1 |         455 |       01:18:22 |         9.54 |         9.72 |      45.4748 |      47.2390 |          0.1000 |
|       1 |         460 |       01:19:15 |         9.71 |         9.68 |      47.1048 |      46.8510 |          0.1000 |
|       1 |         465 |       01:20:06 |         9.90 |         9.61 |      49.0154 |      46.1742 |          0.1000 |
|       1 |         470 |       01:20:58 |         9.73 |         9.68 |      47.3618 |      46.8051 |          0.1000 |
|       1 |         475 |       01:21:51 |         9.91 |         9.60 |      49.0873 |      46.1069 |          0.1000 |
|       1 |         480 |       01:22:43 |        10.21 |         9.59 |      52.1718 |      45.9998 |          0.1000 |
|       1 |         485 |       01:23:35 |         9.60 |         9.53 |      46.0899 |      45.3722 |          0.1000 |
|       1 |         490 |       01:24:27 |         9.54 |         9.54 |      45.4795 |      45.4975 |          0.1000 |
|       2 |         495 |       01:25:19 |        10.00 |         9.46 |      49.9994 |      44.7344 |          0.1000 |
|       2 |         500 |       01:26:10 |         9.58 |         9.53 |      45.9098 |      45.4378 |          0.1000 |
|       2 |         505 |       01:27:02 |         9.44 |         9.47 |      44.5701 |      44.8004 |          0.1000 |
|       2 |         510 |       01:27:54 |         9.40 |         9.44 |      44.2013 |      44.5121 |          0.1000 |
|       2 |         515 |       01:28:45 |         9.17 |         9.41 |      42.0200 |      44.2609 |          0.1000 |
|       2 |         520 |       01:29:37 |         9.20 |         9.36 |      42.3138 |      43.7665 |          0.1000 |
|       2 |         525 |       01:30:28 |         9.38 |         9.33 |      43.9956 |      43.5558 |          0.1000 |
