
                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
             R2021a Update 1 (9.10.0.1649659) 64-bit (glnxa64)
                               April 13, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Datastore creation...
Network creation...
Training...
[Warning: Support for GPU devices with Compute Capability 5.2 will be removed in
a future MATLAB release. For more information on GPU support, see <a
href="matlab:web('http://www.mathworks.com/help/parallel-computing/gpu-support-by-release.html','-browser')">GPU
Support by Release</a>.] 
[> In parallel.internal.gpu.selectDevice
In parallel.gpu/GPUDevice/current (line 44)
In gpuDevice (line 23)
In nnet.internal.cnn.util.isGPUCompatible (line 10)
In nnet.internal.cnn.util.GPUShouldBeUsed>iCheckLocalGPU (line 51)
In nnet.internal.cnn.util.GPUShouldBeUsed>iValidateGPU (line 85)
In nnet.internal.cnn.util.GPUShouldBeUsed (line 34)
In nnet.internal.cnn.assembler.setupExecutionEnvironment (line 32)
In nnet.internal.cnn.trainNetwork.doTrainNetwork (line 22)
In trainNetwork (line 182)
In fullUNet_image_reconstruction (line 181)
In run (line 91)] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |         330 |       00:54:16 |         7.63 |         7.51 |      29.1216 |      28.2219 |          0.1000 |
|       1 |         335 |       00:55:06 |         7.49 |         7.47 |      28.0369 |      27.8907 |          0.1000 |
|       1 |         340 |       00:55:55 |         7.48 |         7.43 |      27.9992 |      27.6014 |          0.1000 |
|       1 |         345 |       00:56:44 |         7.39 |         7.43 |      27.3224 |      27.6302 |          0.1000 |
|       1 |         350 |       00:57:33 |         7.44 |         7.36 |      27.7015 |      27.0995 |          0.1000 |
|       1 |         355 |       00:58:22 |         7.33 |         7.39 |      26.8339 |      27.2707 |          0.1000 |
|       1 |         360 |       00:59:11 |         7.43 |         7.42 |      27.5983 |      27.5122 |          0.1000 |
|       1 |         365 |       01:00:01 |         7.52 |         7.25 |      28.2805 |      26.2802 |          0.1000 |
|       1 |         370 |       01:00:50 |         7.23 |         7.40 |      26.1392 |      27.4057 |          0.1000 |
|       1 |         375 |       01:01:38 |         7.47 |         7.27 |      27.8873 |      26.4383 |          0.1000 |
|       1 |         380 |       01:02:27 |         7.24 |         7.27 |      26.1738 |      26.4563 |          0.1000 |
|       1 |         385 |       01:03:16 |         7.17 |         7.16 |      25.7180 |      25.6464 |          0.1000 |
|       1 |         390 |       01:04:05 |         7.41 |         7.09 |      27.4283 |      25.1595 |          0.1000 |
|       1 |         395 |       01:04:55 |         7.10 |         7.13 |      25.1700 |      25.3867 |          0.1000 |
|       1 |         400 |       01:05:44 |         7.10 |         7.07 |      25.2003 |      24.9710 |          0.1000 |
|       1 |         405 |       01:06:33 |         7.10 |         7.06 |      25.2063 |      24.9450 |          0.1000 |
|       1 |         410 |       01:07:22 |         7.22 |         7.14 |      26.0356 |      25.4844 |          0.1000 |
|       1 |         415 |       01:08:11 |         6.90 |         7.07 |      23.7760 |      25.0102 |          0.1000 |
|       1 |         420 |       01:09:01 |         6.84 |         7.02 |      23.4261 |      24.6304 |          0.1000 |
|       1 |         425 |       01:09:50 |         6.90 |         6.96 |      23.8153 |      24.2037 |          0.1000 |
|       1 |         430 |       01:10:40 |         7.07 |         6.95 |      25.0228 |      24.1423 |          0.1000 |
|       1 |         435 |       01:11:30 |         7.02 |         6.99 |      24.6237 |      24.4413 |          0.1000 |
|       1 |         440 |       01:12:19 |         7.36 |         7.00 |      27.1126 |      24.4953 |          0.1000 |
|       1 |         445 |       01:13:08 |         6.97 |         6.95 |      24.3107 |      24.1561 |          0.1000 |
|       1 |         450 |       01:13:58 |         6.95 |         6.88 |      24.1593 |      23.6346 |          0.1000 |
|       1 |         455 |       01:14:48 |         6.94 |         6.84 |      24.1139 |      23.3963 |          0.1000 |
|       1 |         460 |       01:15:38 |         6.65 |         6.92 |      22.1114 |      23.9583 |          0.1000 |
|       1 |         465 |       01:16:27 |         7.14 |         6.94 |      25.4923 |      24.0899 |          0.1000 |
|       1 |         470 |       01:17:17 |         6.65 |         6.82 |      22.1301 |      23.2770 |          0.1000 |
|       1 |         475 |       01:18:06 |         6.87 |         6.89 |      23.6030 |      23.7208 |          0.1000 |
|       1 |         480 |       01:18:55 |         7.32 |         7.12 |      26.8065 |      25.3407 |          0.1000 |
|       1 |         485 |       01:19:45 |         6.74 |         6.70 |      22.7157 |      22.4168 |          0.1000 |
|       1 |         490 |       01:20:34 |         6.64 |         6.66 |      22.0669 |      22.1514 |          0.1000 |
|       2 |         495 |       01:21:24 |         6.59 |         6.62 |      21.6901 |      21.9267 |          0.1000 |
|       2 |         500 |       01:22:12 |         6.53 |         6.64 |      21.3164 |      22.0485 |          0.1000 |
